2020-09-19 11:03:40.337  INFO 8112 --- [main] e.p.s.d.SpringbootDockerBasisApplication : Starting SpringbootDockerBasisApplication on developer1997 with PID 8112 (C:\develop\workspace\springboot-docker-basis\build\classes\java\main started by pasudo123 in C:\develop\workspace\springboot-docker-basis)
2020-09-19 11:03:40.340  INFO 8112 --- [main] e.p.s.d.SpringbootDockerBasisApplication : No active profile set, falling back to default profiles: default
2020-09-19 11:04:11.860  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 4 x 6 = 24
2020-09-19 11:04:11.860  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 4 x 7 = 28
2020-09-19 11:04:11.860  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 4 x 8 = 32
2020-09-19 11:04:11.860  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 4 x 9 = 36
2020-09-19 11:04:11.860  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 5 x 1 = 5
2020-09-19 11:04:11.860  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 5 x 2 = 10
2020-09-19 11:04:11.860  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 5 x 3 = 15
2020-09-19 11:04:11.860  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 5 x 4 = 20
2020-09-19 11:04:11.860  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 5 x 5 = 25
2020-09-19 11:04:11.861  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 5 x 6 = 30
2020-09-19 11:04:11.861  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 5 x 7 = 35
2020-09-19 11:04:11.861  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 5 x 8 = 40
2020-09-19 11:04:11.861  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 5 x 9 = 45
2020-09-19 11:04:11.861  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 6 x 1 = 6
2020-09-19 11:04:11.861  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 6 x 2 = 12
2020-09-19 11:04:11.861  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 6 x 3 = 18
2020-09-19 11:04:11.861  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 6 x 4 = 24
2020-09-19 11:04:11.861  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 6 x 5 = 30
2020-09-19 11:04:11.861  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 6 x 6 = 36
2020-09-19 11:04:11.861  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 6 x 7 = 42
2020-09-19 11:04:11.861  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 6 x 8 = 48
2020-09-19 11:04:11.861  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 6 x 9 = 54
2020-09-19 11:04:11.861  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 7 x 1 = 7
2020-09-19 11:04:11.861  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 7 x 2 = 14
2020-09-19 11:04:11.861  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 7 x 3 = 21
2020-09-19 11:04:11.861  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 7 x 4 = 28
2020-09-19 11:04:11.861  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 7 x 5 = 35
2020-09-19 11:04:11.861  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 7 x 6 = 42
2020-09-19 11:04:11.861  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 7 x 7 = 49
2020-09-19 11:04:11.861  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 7 x 8 = 56
2020-09-19 11:04:11.862  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 7 x 9 = 63
2020-09-19 11:04:11.862  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 8 x 1 = 8
2020-09-19 11:04:11.862  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 8 x 2 = 16
2020-09-19 11:04:11.862  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 8 x 3 = 24
2020-09-19 11:04:11.862  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 8 x 4 = 32
2020-09-19 11:04:11.862  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 8 x 5 = 40
2020-09-19 11:04:11.862  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 8 x 6 = 48
2020-09-19 11:04:11.862  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 8 x 7 = 56
2020-09-19 11:04:11.862  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 8 x 8 = 64
2020-09-19 11:04:11.862  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 8 x 9 = 72
2020-09-19 11:04:11.862  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 9 x 1 = 9
2020-09-19 11:04:11.863  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 9 x 2 = 18
2020-09-19 11:04:11.863  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 9 x 3 = 27
2020-09-19 11:04:11.863  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 9 x 4 = 36
2020-09-19 11:04:11.863  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 9 x 5 = 45
2020-09-19 11:04:11.863  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 9 x 6 = 54
2020-09-19 11:04:11.863  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 9 x 7 = 63
2020-09-19 11:04:11.863  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 9 x 8 = 72
2020-09-19 11:04:11.863  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 9 x 9 = 81
